user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
797146382,2019-01-05 17:14:04,[],0,1,Citizen Kanan  🇺🇸 Trump is an obscenity,533,2231,Los Angeles,109697,None,None,"b'@amjoyshow Hillary Clinton, Al Franken, Sally Yates, Stacey Abrams, Andrew Gillum'"
933226950939701249,2019-01-05 07:05:20,[],0,0,Louis R Logan,36,17,"Los Angeles, CA",2867,"Place(_api=<tweepy.api.API object at 0x7f5adb9d77b8>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5adb9d77b8>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,"b'@bocavista2016 Yeah, she can keep Al Franken company.'"
237808812,2019-01-05 06:11:55,[],0,0,susie diwald,190,97,los angeles,17804,None,None,b'@Lawrence Al Franken.  I will never forgive her.  Ever.'
832393160533815297,2019-01-05 02:21:34,[],0,1,EMJ-Ogre_42,403,395,"Los Angeles, CA",6841,None,None,"b""@CathynalbertN @BetteMidler @kharyp I don't think ahe is a good choice. I did not like how she treated Al Franken a\xe2\x80\xa6 https://t.co/J0wB7WwzXw"""
3041627647,2019-01-05 00:28:13,[],0,6,Smocking Huey Newton✊🏽🇺🇸,2508,4172,"Redondo Beach, CA",72595,None,None,"b'Well, I for one am tired af at seeing and hearing Republicans get away with everything under the sun with minimal t\xe2\x80\xa6 https://t.co/RCGqwHlG6h'"
34004109,2019-01-05 00:15:50,[],0,0,Paula Garland,242,333, Los Angeles,15234,None,None,b'@Lawrence will never ever get my vote. cannot be forgiven for what she did to al franken'
200668359,2019-01-04 23:54:47,[],0,0,(((Richard Arnold))),1003,173,Los Angeles,16788,None,None,b'@CNBC Let\xe2\x80\x99s ask Al Franken what he thinks.'
902606851107282944,2019-01-04 23:38:57,[],0,0,Anatya L,515,431,"Los Angeles, CA",7410,None,None,b'@Lawrence @SenGillibrand is the over ambitious senator who didn\xe2\x80\x99t allow Al Franken to have his due process all in t\xe2\x80\xa6 https://t.co/V7wucP0oM2'
556374936,2019-01-04 22:50:20,[],0,0,diaryofthemundane,204,89,"Los Angeles, CA",2456,None,None,"b'@Lawrence If she wants to be seen as a uniter, she should pick Al Franken as her running mate.'"
122767088,2019-01-04 21:50:42,[],9,26,B.R.,213,35,Los Angeles,2097,None,None,b'@PuestoLoco Never Gillibrand. \n\nTwo words. \n\nAl Franken.'
122767088,2019-01-04 21:50:29,[],1,20,B.R.,213,35,Los Angeles,2097,None,None,b'@NateSilver538 Never Gillibrand. \n\nTwo words. \n\nAl Franken.'
47420204,2019-01-04 21:28:54,[],8,28,susanreader,264,252,"Los Angeles, CA",8865,None,None,"b'@PuestoLoco Al Franken NEVER should have been railroaded down the exit ramp and this lands solely on gillibrand. No way, No how, NOT ever.'"
49027842,2019-01-04 21:16:41,[],1,0,Gracee Arthur,745,643,Malibu,50281,None,None,b'None! She threw Al @alfranken under the bus.  I think Franken should run. He would make a great president. https://t.co/5MeBSxAjXr'
87742198,2019-01-04 21:12:38,[],0,1,Brittany🥂,4647,1239,"Los Angeles, CA",80016,None,None,b'@kenklippenstein my problem with her is Al Franken not Wall Street'
237808812,2019-01-04 20:58:08,[],0,1,susie diwald,190,97,los angeles,17804,None,None,b'@Will_Bunch Al Franken. I will never forgive her.'
87742198,2019-01-04 20:45:00,[],0,4,Brittany🥂,4647,1239,"Los Angeles, CA",80016,None,None,"b'@DavidKlion she does not have the support of the democratic party, nor does she have the support of big donors! she\xe2\x80\xa6 https://t.co/UmTr5vzJqp'"
20493219,2019-01-04 18:43:37,[],0,1,G. Rubi,1079,649,"Los Angeles, CA",11661,None,None,b'Stop being apologetic ass hats! This is how we lost AL Franken. https://t.co/JUbUeMVwyW'
